identity,vlan,cidr,network,prefix,gateway,pool,pool_start,pool_end,first_usable,last_usable,broadcast
EWT_226,1456,192.168.156.224/27,192.168.156.224,27,192.168.156.225,192.168.156.226-192.168.156.254,192.168.156.226,192.168.156.254,192.168.156.225,192.168.156.254,192.168.156.255
EWT_227,1457,192.168.157.0/27,192.168.157.0,27,192.168.157.1,192.168.157.2-192.168.157.30,192.168.157.2,192.168.157.30,192.168.157.1,192.168.157.30,192.168.157.31
EWT_228,1458,192.168.157.32/27,192.168.157.32,27,192.168.157.33,192.168.157.34-192.168.157.62,192.168.157.34,192.168.157.62,192.168.157.33,192.168.157.62,192.168.157.63
EWT_229,1459,192.168.157.64/27,192.168.157.64,27,192.168.157.65,192.168.157.66-192.168.157.94,192.168.157.66,192.168.157.94,192.168.157.65,192.168.157.94,192.168.157.95
EWT_309L,1460,192.168.157.96/27,192.168.157.96,27,192.168.157.97,192.168.157.98-192.168.157.126,192.168.157.98,192.168.157.126,192.168.157.97,192.168.157.126,192.168.157.127
EWT_309R,1461,192.168.157.128/27,192.168.157.128,27,192.168.157.129,192.168.157.130-192.168.157.158,192.168.157.130,192.168.157.158,192.168.157.129,192.168.157.158,192.168.157.159
EWT_315-318,1462,192.168.157.160/27,192.168.157.160,27,192.168.157.161,192.168.157.162-192.168.157.190,192.168.157.162,192.168.157.190,192.168.157.161,192.168.157.190,192.168.157.191
EWT_322L,1463,192.168.157.192/27,192.168.157.192,27,192.168.157.193,192.168.157.194-192.168.157.222,192.168.157.194,192.168.157.222,192.168.157.193,192.168.157.222,192.168.157.223
EWT_322R,1464,192.168.157.224/27,192.168.157.224,27,192.168.157.225,192.168.157.226-192.168.157.254,192.168.157.226,192.168.157.254,192.168.157.225,192.168.157.254,192.168.157.255
EWT_507-08,1465,192.168.158.0/27,192.168.158.0,27,192.168.158.1,192.168.158.2-192.168.158.30,192.168.158.2,192.168.158.30,192.168.158.1,192.168.158.30,192.168.158.31
